gid,ev_id,iso3disno,iso3year,glide,iso3,id_nat,id_cat,year,start_date,end_date,time_gmt,time_local,duration
9175,DR6788,,CUB1997,,CUB,DR6788CUB,,1997,00000000,00000000,,00000000,0
9176,DR6546,,CUB1996,,CUB,DR6546CUB,,1996,00000000,00000000,,00000000,0
9177,DR5842,,CUB1994,,CUB,DR5842CUB,,1994,00000000,00000000,,00000000,0
9218,DR1954,,CUB1984,,CUB,DR1954CUB,,1984,00000000,00000000,,00000000,0
9178,DR5531,,CUB1993,,CUB,DR5531CUB,,1993,00000000,00000000,,00000000,0
9179,DR4792,,CUB1991,,CUB,DR4792CUB,,1991,00000000,00000000,,00000000,0
9180,DR4795,,CUB1991,,CUB,DR4795CUB,,1991,00000000,00000000,,00000000,0
9190,DR1969,,CUB1984,,CUB,DR1969CUB,,1984,00000000,00000000,,00000000,0
9191,DR975,,CUB1982,,CUB,DR975CUB,,1982,00000000,00000000,,00000000,0
9192,DR977,,CUB1982,,CUB,DR977CUB,,1982,00000000,00000000,,00000000,0
9193,DR620,,CUB1981,,CUB,DR620CUB,,1981,00000000,00000000,,00000000,0
9194,DR624,,CUB1981,,CUB,DR624CUB,,1981,00000000,00000000,,00000000,0
9219,DR4069,,CUB1989,,CUB,DR4069CUB,,1989,00000000,00000000,,00000000,0
9220,DR3632,,CUB1988,,CUB,DR3632CUB,,1988,00000000,00000000,,00000000,0
